Sector_score,LOCATION_ID,PARA_A,Score_A,Risk_A,PARA_B,Score_B,Risk_B,TOTAL,numbers,Score_B.1,Risk_C,Money_Value,Score_MV,Risk_D,District_Loss,PROB,RiSk_E,History,Prob,Risk_F,Score,CONTROL_RISK,Detection_Risk,Risk
3.89,23,4.18,0.6,2.508,2.5,0.2,0.5,6.68,5,0.2,1,3.38,0.2,0.676,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.89,6,0,0.2,0,4.83,0.2,0.966,4.83,5,0.2,1,0.94,0.2,0.188,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,6,0.51,0.2,0.102,0.23,0.2,0.046,0.74,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,1
3.89,6,0,0.2,0,10.8,0.6,6.48,10.8,6,0.6,3.6,11.75,0.6,7.05,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.89,6,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,7,1.1,0.4,0.44,7.41,0.4,2.964,8.51,5,0.2,1,44.95,0.6,26.97,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,1
3.89,8,8.5,0.6,5.1,12.03,0.6,7.218,20.53,5.5,0.4,2.2,7.79,0.4,3.116,2,0.2,0.4,0,0.2,0,4.2,0.4,0.5,0
3.89,8,8.4,0.6,5.04,11.05,0.6,6.63,19.45,5.5,0.4,2.2,7.34,0.4,2.936,2,0.2,0.4,0,0.2,0,4.2,0.4,0.5,1
3.89,8,3.98,0.6,2.388,0.99,0.2,0.198,4.97,5,0.2,1,1.93,0.2,0.386,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,0
3.89,8,15.38,0.6,9.228,40.14,0.6,24.084,55.52,5,0.2,1,0.96,0.2,0.192,2,0.4,0.8,1,0.4,0.4,4,1.2,0.5,1
3.89,8,5.47,0.6,3.282,7.63,0.4,3.052,13.1,5,0.2,1,10.43,0.6,6.258,2,0.2,0.4,1,0.4,0.4,3.6,0.8,0.5,1
3.89,8,1.09,0.4,0.436,0.35,0.2,0.07,1.44,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.89,8,0,0.2,0,0.84,0.2,0.168,0.84,5,0.2,1,0.007,0.2,0.0014,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,13,1.95,0.4,0.78,9.01,0.4,3.604,10.96,5,0.2,1,9,0.4,3.6,2,0.2,0.4,0,0.2,0,3,0.4,0.5,1
3.89,37,4.18,0.6,2.508,4.83,0.2,0.966,9.01,5.5,0.4,2.2,14.03,0.6,8.418,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,0
3.89,37,4.86,0.6,2.916,46.78,0.6,28.068,51.64,5.5,0.4,2.2,63.18,0.6,37.908,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.89,24,6.26,0.6,3.756,14.1,0.6,8.46,20.36,5,0.2,1,34.24,0.6,20.544,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.89,3,0.02,0.2,0.004,5.94,0.4,2.376,5.96,5,0.2,1,0.01,0.2,0.002,2,0.2,0.4,0,0.2,0,2.6,0.4,0.5,0
3.89,3,5.31,0.6,3.186,22.79,0.6,13.674,28.1,5,0.2,1,205.19,0.6,123.114,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.89,3,0.94,0.2,0.188,0.01,0.2,0.002,0.95,5,0.2,1,0.1,0.2,0.02,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,4,5.78,0.6,3.468,57.92,0.6,34.752,63.7,5,0.2,1,11.16,0.6,6.696,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.89,4,7.42,0.6,4.452,2.24,0.2,0.448,9.66,5,0.2,1,1.25,0.2,0.25,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.89,14,6.85,0.6,4.11,31.76,0.6,19.056,38.61,5,0.2,1,1.46,0.2,0.292,2,0.2,0.4,0,0.2,0,3.6,0.4,0.5,1
3.89,14,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,37,0,0.2,0,0.75,0.2,0.15,0.75,5,0.2,1,6.78,0.4,2.712,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,1
3.89,5,0,0.2,0,0.05,0.2,0.01,0.05,5,0.2,1,152.41,0.6,91.446,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.89,5,0,0.2,0,2.97,0.2,0.594,2.97,5,0.2,1,2.84,0.2,0.568,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,5,0,0.2,0,0.43,0.2,0.086,0.43,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,20,9.01,0.6,5.406,19.82,0.6,11.892,28.83,5,0.2,1,9.67,0.4,3.868,2,0.2,0.4,0,0.2,0,3.8,0.4,0.5,1
3.89,19,0,0.2,0,0.05,0.2,0.01,0.05,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,19,11.95,0.6,7.17,30.9,0.6,18.54,42.85,5,0.2,1,32.68,0.6,19.608,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.89,19,7.97,0.6,4.782,17.18,0.6,10.308,25.15,5,0.2,1,935.03,0.6,561.018,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.89,19,0,0.2,0,3.71,0.2,0.742,3.71,5,0.2,1,29.63,0.6,17.778,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.89,19,0.62,0.2,0.124,2.02,0.2,0.404,2.64,5,0.2,1,0.11,0.2,0.022,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,19,0,0.2,0,2.27,0.2,0.454,2.27,5,0.2,1,2.62,0.2,0.524,2,0.2,0.4,0,0.2,0,2,0.4,0.5,1
3.89,19,0,0.2,0,1.03,0.2,0.206,1.03,5,0.2,1,2.43,0.2,0.486,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,21,0,0.2,0,15.38,0.6,9.228,15.38,5,0.2,1,126.13,0.6,75.678,2,0.2,0.4,0,0.2,0,3.6,0.4,0.5,1
3.89,21,0,0.2,0,20.71,0.6,12.426,20.71,5,0.2,1,20.79,0.6,12.474,2,0.2,0.4,2,0.6,1.2,4,1.6,0.5,0
3.89,22,2.95,0.6,1.77,6.56,0.4,2.624,9.51,5,0.2,1,156.92,0.6,94.152,2,0.2,0.4,0,0.2,0,3.4,0.4,0.5,1
3.89,22,1.97,0.4,0.788,2.1,0.2,0.42,4.07,5,0.2,1,12.29,0.6,7.374,2,0.6,1.2,0,0.2,0,3,1.2,0.5,1
3.89,22,0,0.2,0,18.05,0.6,10.83,18.05,5,0.2,1,2.29,0.2,0.458,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,1
3.89,22,0,0.2,0,0.93,0.2,0.186,0.93,5,0.2,1,7.78,0.4,3.112,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.89,9,6.32,0.6,3.792,9.01,0.4,3.604,15.33,5,0.2,1,8.31,0.4,3.324,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,1
3.89,9,0,0.2,0,1.05,0.2,0.21,1.05,5,0.2,1,0.16,0.2,0.032,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,11,0,0.2,0,6.8,0.4,2.72,6.8,5,0.2,1,47.9,0.6,28.74,2,0.2,0.4,0,0.2,0,3,0.4,0.5,1
3.89,11,6.67,0.6,4.002,18.02,0.6,10.812,24.69,5.5,0.4,2.2,4.95,0.2,0.99,2,0.2,0.4,2,0.6,1.2,4.4,1.6,0.5,1
3.89,11,0,0.2,0,0,0.2,0,0,5,0.2,1,1.75,0.2,0.35,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,11,1.26,0.4,0.504,0.05,0.2,0.01,1.31,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.89,12,0,0.2,0,0.03,0.2,0.006,0.03,5,0.2,1,0.06,0.2,0.012,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,12,0,0.2,0,0.79,0.2,0.158,0.79,5,0.2,1,15.82,0.6,9.492,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,0
3.89,12,0,0.2,0,0.07,0.2,0.014,0.07,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,12,13.92,0.6,8.352,2.2,0.2,0.44,16.12,5,0.2,1,0.05,0.2,0.01,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.89,12,1.07,0.4,0.428,0,0.2,0,1.07,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.89,12,0,0.2,0,0.89,0.2,0.178,0.89,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,8,0,0.2,0,3.98,0.2,0.796,3.98,6,0.6,3.6,53.34,0.6,32.004,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,1
3.89,8,10,0.6,6,74.26,0.6,44.556,84.26,5.5,0.4,2.2,11.16,0.6,6.696,2,0.2,0.4,3,0.6,1.8,4.8,2.2,0.5,0
3.89,29,4.24,0.6,2.544,8.06,0.4,3.224,12.3,5,0.2,1,10.69,0.6,6.414,2,0.2,0.4,0,0.2,0,3.4,0.4,0.5,1
3.89,29,12.27,0.6,7.362,72.46,0.6,43.476,84.73,5,0.2,1,5.69,0.4,2.276,2,0.2,0.4,0,0.2,0,3.8,0.4,0.5,1
3.89,29,0,0.2,0,0.96,0.2,0.192,0.96,5,0.2,1,1.35,0.2,0.27,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,30,12.7,0.6,7.62,1.28,0.2,0.256,13.98,5,0.2,1,11.69,0.6,7.014,2,0.2,0.4,0,0.2,0,2.8,0.4,0.5,1
3.89,38,0,0.2,0,63.13,0.6,37.878,63.13,5,0.2,1,14.6,0.6,8.76,2,0.2,0.4,1,0.4,0.4,3.8,0.8,0.5,1
3.89,31,1.99,0.4,0.796,10.24,0.6,6.144,12.23,5,0.2,1,20.78,0.6,12.468,2,0.2,0.4,0,0.2,0,3.8,0.4,0.5,1
3.89,2,0.05,0.2,0.01,0.21,0.2,0.042,0.26,5.5,0.4,2.2,102.22,0.6,61.332,2,0.2,0.4,0,0.2,0,2.8,0.4,0.5,1
3.89,2,0,0.2,0,7.37,0.4,2.948,7.37,5,0.2,1,0.74,0.2,0.148,2,0.2,0.4,0,0.2,0,2.6,0.4,0.5,0
3.89,2,71.48,0.6,42.888,25.63,0.6,15.378,97.11,5,0.2,1,873.37,0.6,524.022,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.89,2,0,0.2,0,0,0.2,0,0,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,32,0.01,0.2,0.002,1.29,0.2,0.258,1.3,5.5,0.4,2.2,36.52,0.6,21.912,4,0.2,0.8,0,0.2,0,3,0.8,0.5,1
3.89,32,6.85,0.6,4.11,65.93,0.6,39.558,72.78,5.5,0.4,2.2,6.02,0.4,2.408,4,0.2,0.8,0,0.2,0,4.4,0.8,0.5,1
3.89,32,5.37,0.6,3.222,8.62,0.4,3.448,13.99,5,0.2,1,17.16,0.6,10.296,4,0.2,0.8,0,0.2,0,3.6,0.8,0.5,1
3.89,32,0,0.2,0,0.85,0.2,0.17,0.85,5,0.2,1,0,0.2,0,4,0.2,0.8,0,0.2,0,2.2,0.8,0.5,0
3.89,16,15.72,0.6,9.432,57.94,0.6,34.764,73.66,6,0.6,3.6,10.79,0.6,6.474,6,0.2,1.2,0,0.2,0,5.2,1.2,0.5,1
3.89,16,4.95,0.6,2.97,42.61,0.6,25.566,47.56,5,0.2,1,3.46,0.2,0.692,6,0.2,1.2,1,0.4,0.4,4.2,1.6,0.5,1
3.89,16,0,0.2,0,0.08,0.2,0.016,0.08,5,0.2,1,0.06,0.2,0.012,6,0.2,1.2,0,0.2,0,2.4,1.2,0.5,0
3.89,16,1.19,0.4,0.476,12.88,0.6,7.728,14.07,5,0.2,1,2.33,0.2,0.466,6,0.2,1.2,0,0.2,0,3.8,1.2,0.5,1
3.89,16,0,0.2,0,2.72,0.2,0.544,2.72,5,0.2,1,5.58,0.4,2.232,6,0.2,1.2,0,0.2,0,2.6,1.2,0.5,1
3.89,16,1.33,0.4,0.532,0,0.2,0,1.33,5,0.2,1,0.2,0.2,0.04,6,0.2,1.2,0,0.2,0,2.6,1.2,0.5,1
3.89,16,0,0.2,0,1.1,0.2,0.22,1.1,5,0.2,1,0,0.2,0,6,0.2,1.2,0,0.2,0,2.4,1.2,0.5,1
3.89,33,2.57,0.6,1.542,4.49,0.2,0.898,7.06,5,0.2,1,7.56,0.4,3.024,2,0.2,0.4,1,0.4,0.4,2.8,0.8,0.5,1
3.89,15,0,0.2,0,1.88,0.2,0.376,1.88,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.89,15,0.77,0.2,0.154,18.31,0.6,10.986,19.08,5,0.2,1,67.03,0.6,40.218,2,0.2,0.4,0,0.2,0,3.6,0.4,0.5,1
3.89,15,5.23,0.6,3.138,5.89,0.4,2.356,11.12,5,0.2,1,19.4,0.6,11.64,2,0.2,0.4,0,0.2,0,3.4,0.4,0.5,1
3.89,15,6.59,0.6,3.954,23.66,0.6,14.196,30.25,5,0.2,1,34.83,0.6,20.898,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.89,15,7.18,0.6,4.308,14.63,0.6,8.778,21.81,5,0.2,1,98.75,0.6,59.25,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.89,36,10.96,0.6,6.576,41.47,0.6,24.882,52.43,5,0.2,1,35.21,0.6,21.126,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.89,6,0,0.2,0,0.23,0.2,0.046,0.23,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
3.41,25,1.44,0.4,0.576,29.25,0.6,17.55,30.69,5,0.2,1,35.13,0.6,21.078,2,0.2,0.4,0,0.2,0,3.8,0.4,0.5,1
3.41,39,1.52,0.4,0.608,37.33,0.6,22.398,38.85,5.5,0.4,2.2,63.7,0.6,38.22,2,0.2,0.4,0,0.2,0,4.2,0.4,0.5,1
3.41,2,1.35,0.4,0.54,66.35,0.6,39.81,67.7,5.5,0.4,2.2,27.13,0.6,16.278,2,0.2,0.4,3,0.6,1.8,4.6,2.2,0.5,1
3.41,39,9.97,0.6,5.982,88.73,0.6,53.238,98.7,5,0.2,1,10.27,0.6,6.162,2,0.2,0.4,0,0.2,0,4,0.4,0.5,0
3.41,8,1.98,0.4,0.792,67.91,0.6,40.746,69.89,5.5,0.4,2.2,18.79,0.6,11.274,2,0.2,0.4,1,0.4,0.4,4.4,0.8,0.5,1
3.41,11,10.08,0.6,6.048,22.31,0.6,13.386,32.39,5.5,0.4,2.2,16.82,0.6,10.092,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.41,11,1.44,0.4,0.576,9.65,0.4,3.86,11.09,6.5,0.6,3.9,10.03,0.6,6.018,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,12,25.4,0.6,15.24,51.74,0.6,31.044,77.14,5,0.2,1,12.67,0.6,7.602,6,0.2,1.2,2,0.6,1.2,4.8,2.4,0.5,1
3.41,12,3.21,0.6,1.926,72.07,0.6,43.242,75.28,5,0.2,1,13.79,0.6,8.274,6,0.2,1.2,1,0.4,0.4,4.6,1.6,0.5,1
3.41,13,15.66,0.6,9.396,74.53,0.6,44.718,90.19,5,0.2,1,29.07,0.6,17.442,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,13,2.92,0.6,1.752,5.24,0.4,2.096,8.16,5,0.2,1,9.76,0.4,3.904,2,0.2,0.4,0,0.2,0,3.2,0.4,0.5,1
3.41,13,1.97,0.4,0.788,30.25,0.6,18.15,32.22,5,0.2,1,0.68,0.2,0.136,2,0.2,0.4,0,0.2,0,3.4,0.4,0.5,1
3.41,5,10,0.6,6,47.9,0.6,28.74,57.9,5,0.2,1,7.7,0.4,3.08,2,0.2,0.4,0,0.2,0,3.8,0.4,0.5,1
3.41,35,13.06,0.6,7.836,45.42,0.6,27.252,58.48,5,0.2,1,10.4,0.6,6.24,2,0.2,0.4,0,0.2,0,4,0.4,0.5,0
3.41,38,1.35,0.4,0.54,33.25,0.6,19.95,34.6,5.5,0.4,2.2,20.62,0.6,12.372,2,0.2,0.4,0,0.2,0,4.2,0.4,0.5,1
3.41,4,4.13,0.6,2.478,16.74,0.6,10.044,20.87,5,0.2,1,44.02,0.6,26.412,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,31,16.36,0.6,9.816,41.1,0.6,24.66,57.46,5,0.2,1,12.03,0.6,7.218,4,0.2,0.8,0,0.2,0,4.2,0.8,0.5,1
3.41,16,12.68,0.6,7.608,41,0.6,24.6,53.68,5.5,0.4,2.2,11.88,0.6,7.128,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.41,16,11.73,0.6,7.038,85.87,0.6,51.522,97.6,5,0.2,1,6.96,0.4,2.784,2,0.2,0.4,1,0.4,0.4,4,0.8,0.5,1
3.41,22,5.15,0.6,3.09,44.67,0.6,26.802,49.82,5.5,0.4,2.2,21.07,0.6,12.642,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.41,7,6.61,0.6,3.966,55.62,0.6,33.372,62.23,5,0.2,1,57.16,0.6,34.296,2,0.4,0.8,0,0.2,0,4.2,0.8,0.5,1
3.41,8,8.03,0.6,4.818,94.43,0.6,56.658,102.46,5.5,0.4,2.2,10.65,0.6,6.39,2,0.2,0.4,2,0.6,1.2,4.8,1.6,0.5,1
3.41,19,1.64,0.4,0.656,46.21,0.6,27.726,47.85,5,0.2,1,2.45,0.2,0.49,2,0.2,0.4,0,0.2,0,3.4,0.4,0.5,1
3.41,29,1.1,0.4,0.44,87.71,0.6,52.626,88.81,5.5,0.4,2.2,34.32,0.6,20.592,2,0.2,0.4,0,0.2,0,4.2,0.4,0.5,1
3.41,20,1.08,0.4,0.432,32.71,0.6,19.626,33.79,5,0.2,1,8.38,0.4,3.352,2,0.2,0.4,0,0.2,0,3.6,0.4,0.5,1
3.41,29,12.29,0.6,7.374,25.74,0.6,15.444,38.03,5,0.2,1,22.1,0.6,13.26,2,0.4,0.8,0,0.2,0,4.2,0.8,0.5,1
3.41,9,17.26,0.6,10.356,44.22,0.6,26.532,61.48,5,0.2,1,27.68,0.6,16.608,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.41,30,1.15,0.4,0.46,20.1,0.6,12.06,21.25,6,0.6,3.6,21.45,0.6,12.87,2,0.2,0.4,0,0.2,0,4.6,0.4,0.5,1
3.41,15,20.04,0.6,12.024,48.9,0.6,29.34,68.94,5,0.2,1,11.09,0.6,6.654,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,15,12.17,0.6,7.302,47,0.6,28.2,59.17,6,0.6,3.6,10.14,0.6,6.084,2,0.2,0.4,0,0.2,0,4.8,0.4,0.5,1
3.41,42,3.77,0.6,2.262,40.86,0.6,24.516,44.63,5,0.2,1,18,0.6,10.8,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,22,4.73,0.6,2.838,60.22,0.6,36.132,64.95,5,0.2,1,69.76,0.6,41.856,2,0.2,0.4,0,0.2,0,4,0.4,0.5,1
3.41,11,6.31,0.6,3.786,19.42,0.6,11.652,25.73,5.5,0.4,2.2,13.88,0.6,8.328,2,0.2,0.4,0,0.2,0,4.4,0.4,0.5,1
3.41,13,5.61,0.6,3.366,1.56,0.2,0.312,7.17,5,0.2,1,4.03,0.2,0.806,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,1
3.41,19,0.31,0.2,0.062,58.12,0.6,34.872,58.43,5,0.2,1,78.98,0.6,47.388,2,0.4,0.8,0,0.2,0,3.8,0.8,0.5,1
3.41,14,16.53,0.6,9.918,72.99,0.6,43.794,89.52,5,0.2,1,5.49,0.4,2.196,2,0.2,0.4,1,0.4,0.4,4,0.8,0.5,1
3.41,22,2.7,0.6,1.62,45.16,0.6,27.096,47.86,5,0.2,1,37.79,0.6,22.674,2,0.2,0.4,0,0.2,0,4,0.4,0.5,0
3.41,8,3.08,0.6,1.848,60.78,0.6,36.468,63.86,5,0.2,1,0.36,0.2,0.072,2,0.2,0.4,0,0.2,0,3.6,0.4,0.5,1
3.41,32,2,0.6,1.2,49.19,0.6,29.514,51.19,5,0.2,1,60.88,0.6,36.528,2,0.2,0.4,1,0.4,0.4,4.2,0.8,0.5,1
3.41,2,1.18,0.4,0.472,0,0.2,0,1.18,5.5,0.4,2.2,183.2,0.6,109.92,2,0.4,0.8,0,0.2,0,3.2,0.8,0.5,1
3.41,39,1.07,0.4,0.428,0,0.2,0,1.07,5,0.2,1,10.02,0.6,6.012,2,0.2,0.4,0,0.2,0,2.6,0.4,0.5,1
3.41,12,1.07,0.4,0.428,0,0.2,0,1.07,5,0.2,1,0,0.2,0,6,0.2,1.2,0,0.2,0,2.6,1.2,0.5,1
3.41,13,1.01,0.4,0.404,0,0.2,0,1.01,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.41,4,4.01,0.6,2.406,0,0.2,0,4.01,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.4,0.4,0.5,0
3.41,16,1.05,0.4,0.42,0,0.2,0,1.05,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.41,15,1.01,0.4,0.404,0,0.2,0,1.01,5,0.2,1,0.28,0.2,0.056,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.41,19,0.91,0.2,0.182,0,0.2,0,0.91,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,1
3.41,8,1.12,0.4,0.448,0,0.2,0,1.12,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2.2,0.4,0.5,0
3.41,22,0.65,0.2,0.13,0,0.2,0,0.65,5,0.2,1,0,0.2,0,2,0.2,0.4,0,0.2,0,2,0.4,0.5,0
